industry_name,employer_name,filer_name,total_donations,total_donation_amount,total_donors
FINANCE,WESTERN UNION DIGITAL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
EDUCATION,SINGULARITY UNIVERSITY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,300,1
NON-PROFIT (LAW),COMMUNITY LEGAL SERVICES IN EAST PALO ALTO,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (REALTOR),CITY REAL ESTATE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
BUILDING TRADES,VERDANT BUILDING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
FOOD SERVICE,PICCINO CAF?,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
EDUCATION,LEADERSHIP PUBLIC SCHOOLS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
BUILDING TRADES,SARRIS CONSTRUCTION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,200,1
GOVERNMENT,CALIFORNIA STATE ASSEMBLY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
FINANCE,HEFFERNAN INSURANCE BROKERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (PROVIDER),BLUEFISH PEDIATRICS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,BERKO LAW,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
HEALTHCARE (PROVIDER),SAN FRANCISCO ZEN CENTER,DEAN PRESTON FOR SUPERVISOR 2019,2,200,1
BUILDING TRADES,SWINERTON BUILDERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
FINANCE,RHS PARTNERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (DEVELOPER),RHP MANAGEMENT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
MEDIA,MISSION AT TENTH INTERARTS JOURNAL,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
HEALTHCARE (PROVIDER),FELTON INSTITUTE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (POLITICS),RDJ ENTERPRISES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (LAW),PUBLIC JUSTICE CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
CONSULTING (BUSINESS),VJR CONSULTING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (ADVOCACY),SAN FRANCISCO TENANTS' UNION,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
TENANT LAW,BV LAW,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
AIRLINE,DELTA AIRLINES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,125,1
GOVERNMENT,OFFICE OF THE FEDERAL PUBLIC DEFENDER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
NON-PROFIT (LAW),BAY AREA LEGAL AID,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
FINANCE,FIRST REPUBLIC BANK,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,150,1
PRIVATE LAW,PERETZ AND ASSOCIATES,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
EDUCATION,THIRD STREET MUSIC SCHOOL,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
HEALTHCARE (PROVIDER),ATLANTIC MEDICAL GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
NA,"NA",VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,LINKEDIN,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,NEW YORK CITY DEPARTMENT OF EDUCATION,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
TECH,DIRECT COMMERCE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (ADVOCACY),CENTER FOR BIOLOGICAL DIVERSITY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
MANUFACTURING,THE AZEK COMPANY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
BIOTECH,GREEN CHEMISTRY CLEARINGHOUSE,DEAN PRESTON FOR SUPERVISOR 2019,3,500,1
NON-PROFIT (COMMUNITY),THE VILLAGE PROJECT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,1
OTHER SERVICES,MCAVOY O'HARA EVERGREEN MORTUARY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (COMMUNITY),TENDERLOIN HOUSING CLINIC,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (LANDLORD),MURPHY INVESMENTS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,LAW OFFICE OF PAHOUA C. LOR,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
TECH,TWITCH INTERACTIVE,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),FIREBRAND COMMUNICATIONS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,350,1
OTHER SERVICES,STUDIO SOOTHE,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
EDUCATION,ST. IGNATIUS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
GOVERNMENT,US SMALL BUSINESS ADMINISTRATION,DEAN PRESTON FOR SUPERVISOR 2019,2,500,1
